Abuna Ginde Beret;
Wolisso Town;Kebele 08
Wolkite;A/Becho
Wolkite;Acheber
Wolkite;Berio
Wolkite;Enge
Wolkite;Eza
Wolkite;Gumer
Wolkite;Gunchure
Wolkite;Gurura
Wolkite;Kebele 01
Wolkite;Kebele 02
Wolkite;Walga
Wonchi;Azer
Wonchi;Belbela Bulbula
Wonchi;Chebo Sansalti
Wonchi;Chitu town
Wonchi;Dae Wendimtu
Wonchi;Damu Degelei
Wonchi;Degoye Galiye
Wonchi;Dimtu Godeti
Wonchi;Dulelei Bilacha
Wonchi;Dulelei kori
Wonchi;Echa
Wonchi;Fite wato
Wonchi;Haro Beseka
Wonchi;Haro Kono
Wonchi;Haro Wonchi
Wonchi;Hazar  
Wonchi;Hazar Kerensa
Wonchi;Hono Fare
Wonchi;Kurfo Gutei
Wonchi;Leman Ayitu
Wonchi;M/Kube
Wonchi;M/Walga
Wonchi;Meiti Walga
Wonchi;Merga Abiye
Wonchi;Meti
Wonchi;Odo Fura
Wonchi;Senkolei Kake
Wonchi;Shegag
Wonchi;Sokole Kaki
Wonchi;Toleka Lema
Wonchi;Waldo Telfame
Wonchi;Werabu Bariyu
Wonchi;Worabu
